gen	p1	p2	group	parent	hybrid	genotype	block	ndr6	sgr6	ndm	ph	plr6	pwr6	as	hsw	gy	
4	3	5	hybrid	0	1	11	4	101	24	133	101.25	42.51	10.71	40.65	17.62	241.6	2416
4	3	6	hybrid	0	1	12	1	95	14	118	131.25	42.57	11.95	50.78	23.62	416.46	4164.6
4	3	6	hybrid	0	1	12	2	92	17	119	85	42.99	10.77	40.86	19.38	235.14	2351.4
4	3	6	hybrid	0	1	12	3	101	15	130	98.75	42.15	10.66	42.49	18.05	378	3780
4	3	6	hybrid	0	1	12	4	95	21	130	111.25	42.38	11.66	41.1	21.23	269.1	2691
4	4	5	hybrid	0	1	13	1	101	11	131	116.25	44.07	11.65	57.73	25.48	386.72	3867.2
4	4	5	hybrid	0	1	13	2	107	15	133	105	39.08	10.73	39.89	20.85	231.46	2314.6
4	4	5	hybrid	0	1	13	3	104	5	130	115	41.28	11.26	45.6	22.4	252.52	2525.2
4	4	5	hybrid	0	1	13	4	107	9	130	121.25	44.45	11.13	39.99	23.16	360.94	3609.4
4	4	6	hybrid	0	1	14	1	101	14	130	91.25	44.36	11.5	50.77	23.07	255.9	2559
4	4	6	hybrid	0	1	14	2	95	21	122	88.75	46.56	11.39	45.39	25.37	235.86	2358.6
4	4	6	hybrid	0	1	14	3	101	15	122	87.5	43.1	10.7	41.31	21.53	192.29	1922.9
4	4	6	hybrid	0	1	14	4	101	15	131	88.75	44.47	10.88	43.64	21.56	233.8	2338
4	5	6	hybrid	0	1	15	1	101	9	119	93.75	43.63	11.36	48.47	24.37	417.03	4170.3
4	5	6	hybrid	0	1	15	2	95	12	117	98.75	42.94	10.84	47.85	25.21	215.22	2152.2
4	5	6	hybrid	0	1	15	3	101	10	130	73.75	44.83	10.53	40.08	17.62	208.97	2089.7
4	5	6	hybrid	0	1	15	4	95	17	122	81.25	43.48	10.93	39.28	18.38	177.8	1778
4	1	1	parent	1	0	16	1	108	17	130	97.5	42.87	10.84	41.63	20.64	358.7	3587
4	1	1	parent	1	0	16	2	101	15	133	86.25	40.98	10.28	40.25	19.92	310	3100
4	1	1	parent	1	0	16	3	101	15	130	97.5	38.95	9.68	42.55	20.81	367.24	3672.4
4	1	1	parent	1	0	16	4	98	21	130	91.25	47.25	10.49	44.88	21.85	259.98	2599.8
4	2	2	parent	1	0	17	1	101	11	122	95	38.03	9.17	31.52	10.92	263.43	2634.3
4	2	2	parent	1	0	17	2	95	21	122	95	35.85	8.83	41.23	22.57	327.17	3271.7
4	2	2	parent	1	0	17	3	106	9	122	86.25	31.71	8.36	26.65	10.29	291.34	2913.4
4	2	2	parent	1	0	17	4	101	15	122	67.5	31.12	8.59	26.03	9.91	217.57	2175.7
4	3	3	parent	1	0	18	1	101	10	134	102.5	38.72	10.11	36.47	14.86	424.42	4244.2
4	3	3	parent	1	0	18	2	101	15	130	81.25	32.08	8.88	27.58	11.49	130.21	1302.1
4	3	3	parent	1	0	18	3	95	14	116	83.75	29.28	8.42	30.38	10.5	175.53	1755.3
4	3	3	parent	1	0	18	4	95	17	131	86.25	34.18	8.92	29.32	10.91	147.17	1471.7
4	4	4	parent	1	0	19	1	101	13	130	97.5	32.93	8.57	28.65	11.19	195.15	1951.5
4	4	4	parent	1	0	19	2	101	9	130	70	31.69	8.44	26.64	10.15	161.65	1616.5
4	4	4	parent	1	0	19	3	95	19	130	83.75	32.19	8.32	28.88	10.37	135.24	1352.4
4	4	4	parent	1	0	19	4	101	8	131	90	30.5	8.44	26.97	9.87	252	2520
4	5	5	parent	1	0	20	1	101	24	131	97.5	34.03	9.19	34.79	14.8	460.17	4601.7
4	5	5	parent	1	0	20	2	108	19	133	105	42.62	10.4	48.8	25.47	176.9	1769
4	5	5	parent	1	0	20	3	107	11	130	96.25	32.01	8.74	29.08	11.5	246.54	2465.4
4	5	5	parent	1	0	20	4	101	15	131	95	34.72	8.29	27.92	10.73	184.66	1846.6
4	6	6	parent	1	0	21	1	101	15	122	91.25	32.3	8.63	24.45	8.69	231.19	2311.9
4	6	6	parent	1	0	21	2	95	15	129	71.25	36.72	8.93	26.86	10.54	217.57	2175.7
4	6	6	parent	1	0	21	3	101	17	130	85	33.62	8.8	25.22	8.38	147.78	1477.8
4	6	6	parent	1	0	21	4	101	15	130	80	34.03	8.32	26.47	8.84	191.02	1910.2
