Cross1	Cross2	Rep	ndr6	sgr6	ndm	ph	plr6	pwr6	as	hsw	gy	gy2
1	2	1	101	24	131	98.75	32.87	8.97	34.33	13.88	367.03	3670.3
1	3	1	107	20	133	115	44.54	10.81	45.83	20.63	252	2520
1	4	1	101	11	133	111.25	46.96	11.64	50.24	24.39	367.24	3672.4
1	5	1	101	26	135	100	44.24	10.94	44.47	22.49	405.82	4058.2
1	6	1	93	14	116	112.5	40.32	11.75	46.6	26.67	381.62	3816.2
2	3	1	94	12	133	130	39.34	12.18	47.23	20.73	219.72	2197.2
2	4	1	95	12	118	115	44.03	11.58	50.13	24.72	416.14	4161.4
2	5	1	101	8	130	117.5	41.72	12.46	52.84	22.96	230	2300
2	6	1	95	11	118	105	38.75	11.59	51.91	22.81	175.53	1755.3
3	4	1	101	26	132	110	44.57	11.19	38.76	23.1	383.56	3835.6
3	5	1	101	24	130	95	48.44	11.5	48.07	23.8	330.66	3306.6
3	6	1	95	14	118	131.25	42.57	11.95	50.78	23.62	416.46	4164.6
4	5	1	101	11	131	116.25	44.07	11.65	57.73	25.48	386.72	3867.2
4	6	1	101	14	130	91.25	44.36	11.5	50.77	23.07	255.9	2559
5	6	1	101	9	119	93.75	43.63	11.36	48.47	24.37	417.03	4170.3
1	1	1	108	17	130	97.5	42.87	10.84	41.63	20.64	358.7	3587
2	2	1	101	11	122	95	38.03	9.17	31.52	10.92	263.43	2634.3
3	3	1	101	10	134	102.5	38.72	10.11	36.47	14.86	424.42	4244.2
4	4	1	101	13	130	97.5	32.93	8.57	28.65	11.19	195.15	1951.5
5	5	1	101	24	131	97.5	34.03	9.19	34.79	14.8	460.17	4601.7
6	6	1	101	15	122	91.25	32.3	8.63	24.45	8.69	231.19	2311.9
1	2	2	101	25	133	85	34.57	8.91	50.34	27.31	167.1	1671
1	3	2	101	15	131	77.5	43.58	10.84	43.91	22	254.51	2545.1
1	4	2	108	20	134	111.25	43.37	10.77	35.78	18.11	229.19	2291.9
1	5	2	101	27	134	108.75	44.02	11.1	46.77	24.32	352.09	3520.9
1	6	2	95	11	116	90	38.59	11.27	41.04	20.37	207.66	2076.6
2	3	2	95	12	119	91.25	41.23	11.74	39.47	21.53	251.99	2519.9
2	4	2	93	13	116	120	42.6	11.6	45.36	22.36	278.79	2787.9
2	5	2	95	11	116	92.5	40.31	11.89	43	20.25	232.99	2329.9
2	6	2	95	12	116	78.75	41.57	11.85	47.43	23.46	233.8	2338
