Cross1	Cross2	Rep	ndr6	sgr6	ndm	ph	plr6	pwr6	as	hsw	gy	gy2
3	4	2	108	21	135	91.25	38.96	9.86	42.72	22.18	283.67	2836.7
3	5	2	101	27	134	95	44.15	10.91	39.28	20.25	327.04	3270.4
3	6	2	92	17	119	85	42.99	10.77	40.86	19.38	235.14	2351.4
4	5	2	107	15	133	105	39.08	10.73	39.89	20.85	231.46	2314.6
4	6	2	95	21	122	88.75	46.56	11.39	45.39	25.37	235.86	2358.6
5	6	2	95	12	117	98.75	42.94	10.84	47.85	25.21	215.22	2152.2
1	1	2	101	15	133	86.25	40.98	10.28	40.25	19.92	310	3100
2	2	2	95	21	122	95	35.85	8.83	41.23	22.57	327.17	3271.7
3	3	2	101	15	130	81.25	32.08	8.88	27.58	11.49	130.21	1302.1
4	4	2	101	9	130	70	31.69	8.44	26.64	10.15	161.65	1616.5
5	5	2	108	19	133	105	42.62	10.4	48.8	25.47	176.9	1769
6	6	2	95	15	129	71.25	36.72	8.93	26.86	10.54	217.57	2175.7
1	2	3	106	10	130	88.75	34.56	8.3	28.47	11.05	179.14	1791.4
1	3	3	107	10	130	112.5	40.78	10.51	44.21	21.68	245.51	2455.1
1	4	3	101	18	131	86.25	39.74	10.69	47.68	23.13	212.22	2122.2
1	5	3	95	11	97	88.75	43.06	10.68	40.17	21.83	192.29	1922.9
1	6	3	93	12	116	106.25	38.19	10.68	48.88	20.93	247.32	2473.2
2	3	3	95	11	116	102.5	38.97	11.34	48.1	22.6	288.24	2882.4
2	4	3	95	15	116	92.5	36.97	10.2	46.9	20.87	169.38	1693.8
2	5	3	95	11	116	103.75	41.21	11.51	45.65	21.2	213.27	2132.7
2	6	3	95	11	116	100	39.8	11.26	41.11	21.37	206.52	2065.2
3	4	3	107	15	130	87.5	42.17	10.14	40.78	19.82	261.17	2611.7
3	5	3	108	18	133	95	40.62	10.58	45.1	21.11	246.54	2465.4
3	6	3	101	15	130	98.75	42.15	10.66	42.49	18.05	378	3780
4	5	3	104	5	130	115	41.28	11.26	45.6	22.4	252.52	2525.2
4	6	3	101	15	122	87.5	43.1	10.7	41.31	21.53	192.29	1922.9
5	6	3	101	10	130	73.75	44.83	10.53	40.08	17.62	208.97	2089.7
1	1	3	101	15	130	97.5	38.95	9.68	42.55	20.81	367.24	3672.4
2	2	3	106	9	122	86.25	31.71	8.36	26.65	10.29	291.34	2913.4
3	3	3	95	14	116	83.75	29.28	8.42	30.38	10.5	175.53	1755.3
4	4	3	95	19	130	83.75	32.19	8.32	28.88	10.37	135.24	1352.4
5	5	3	107	11	130	96.25	32.01	8.74	29.08	11.5	246.54	2465.4
6	6	3	101	17	130	85	33.62	8.8	25.22	8.38	147.78	1477.8
1	2	4	95	21	130	98.75	33.23	8.21	28.6	11.89	248.3	2483
1	3	4	112	15	135	108.75	43.38	10.5	40.69	19.74	200.04	2000.4
1	4	4	109	17	132	105	45.63	10.83	43.88	21.71	315.27	3152.7
1	5	4	101	9	132	88.75	45.43	11.03	44.53	22.38	265.02	2650.2
1	6	4	95	11	116	101.25	41.7	10.98	37.95	19.84	207.32	2073.2
2	3	4	95	13	116	97.5	40.93	11.5	47.37	23.1	207.65	2076.5
2	4	4	95	11	116	92.5	40.8	10.97	42.8	20.51	360.94	3609.4
2	5	4	95	10	116	96.25	42.57	11.35	42	20.33	232.99	2329.9
2	6	4	95	11	116	103.75	39.84	10.97	40.47	22.87	191.02	1910.2
3	4	4	108	18	137	97.5	39.2	10.35	42.29	20.57	238.58	2385.8
3	5	4	101	24	133	101.25	42.51	10.71	40.65	17.62	241.6	2416
3	6	4	95	21	130	111.25	42.38	11.66	41.1	21.23	269.1	2691
4	5	4	107	9	130	121.25	44.45	11.13	39.99	23.16	360.94	3609.4
4	6	4	101	15	131	88.75	44.47	10.88	43.64	21.56	233.8	2338
5	6	4	95	17	122	81.25	43.48	10.93	39.28	18.38	177.8	1778
1	1	4	98	21	130	91.25	47.25	10.49	44.88	21.85	259.98	2599.8
2	2	4	101	15	122	67.5	31.12	8.59	26.03	9.91	217.57	2175.7
3	3	4	95	17	131	86.25	34.18	8.92	29.32	10.91	147.17	1471.7
4	4	4	101	8	131	90	30.5	8.44	26.97	9.87	252	2520
5	5	4	101	15	131	95	34.72	8.29	27.92	10.73	184.66	1846.6
6	6	4	101	15	130	80	34.03	8.32	26.47	8.84	191.02	1910.2
